Año,Trimestre,Ingresos (miles de pesos),Periodo,Ingresos_en_pesos
2024,2,442032166.69,Abr-Jun 2024,0.9999999999999999
2024,1,346198986.13,Ene-Mar 2024,0.7817251052090578
2023,4,167376014.8,Oct-Dic 2023,0.3744281228364278
2023,3,133106593.41,Jul-Sept 2023,0.29637421390072805
2023,2,118060280.28,Jun-Mar 2023,0.26210390797692434
2023,1,104134992.81,Ene-Mar 2023,0.23038691142430698
2022,4,72443482.9891497,Oct-Dic 2022,0.15820459490835592
2022,3,64086784.3305304,Jul-Sept 2022,0.13917092087342484
2022,2,60419500.6232803,Abr-Jun 2022,0.13081811487563805
2022,1,55219313.0146503,Ene-Mar 2022,0.11897388309146785
2021,4,45467887.1650125,Oct-Dic 2021,0.0967635021049082
2021,3,42999944.2928225,Jul-Sept 2021,0.09114238040541435
2021,2,38239666.6335425,Abr-Jun 2021,0.08030011158804501
2021,1,36676371.3623924,Ene-Mar 2021,0.07673946475525179
2020,4,33539702.7163118,Oct-Dic 2020,0.0695952166491521
2020,3,31997444.5306992,Jul-Sept 2020,0.06608248503325528
2020,2,32102475.9914636,Abr-Jun 2020,0.06632171043425024
2020,1,29946216.4520491,Ene-Mar 2020,0.06141049574475141
2019,4,24169250.6990153,Oct-Dic 2019,0.04825256250507508
2019,3,21652748.4446425,Jul-Sept 2019,0.04252083930018272
2019,2,20743117.6940061,Abr-Jun 2019,0.04044901453934785
2019,1,20207413.7708524,Ene-Mar 2019,0.03922886597720909
2018,4,16637686.5890096,Oct-Dic 2018,0.031098260058716517
2018,3,15410980.692583,Jul-Sept 2018,0.028304247599594348
2018,2,14319467.4607138,Abr-Jun 2018,0.02581815734925558
2018,1,13171459.2308934,Ene-Mar 2018,0.023203391000910314
2017,4,11226127.38858,Oct-Dic 2017,0.01877259677355417
2017,3,10065997.86215,Jul-Sept 2017,0.0161302222969309
2017,2,9678646.92829,Abr-Jun 2017,0.015247970619157045
2017,1,8701201.42137,Ene-Mar 2017,0.013021687259467597
2016,4,7483980.39327901,Oct-Dic 2016,0.010249278055355474
2016,3,6912441.53885665,Jul-Sept 2016,0.008947509893336994
2016,2,6534240.5975,Abr-Jun 2016,0.008086098739057572
2016,1,5936844.8865,Ene-Mar 2016,0.006725437585946355
2015,4,5376899.206,Oct-Dic 2015,0.005450074671081412
2015,3,5153738.88436,Jul-Sept 2015,0.004941792514078525
2015,2,4701790.71966,Abr-Jun 2015,0.00391241064942165
2015,1,4876385.31507,Ene-Mar 2015,0.004310076851477053
2014,4,3950440.78037,Oct-Dic 2014,0.002201094923580468
2014,3,3478637.74279962,Jul-Sept 2014,0.0011264905142731388
2014,2,3270816.20391,Abr-Jun 2014,0.000653144808001575
2014,1,2984054.20878,Ene-Mar 2014,0.0
