Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos trimestre anterior,KPI
2014,1,Buenos Aires,54.5700728794398,,0.0
2014,2,Buenos Aires,55.0614169514339,54.57,0.9
2014,3,Buenos Aires,56.754739164071,55.06,3.08
2014,4,Buenos Aires,56.0943365301975,56.75,-1.16
2015,1,Buenos Aires,56.3704843302674,56.09,0.49
2015,2,Buenos Aires,56.8028056143921,56.37,0.77
2015,3,Buenos Aires,57.6886810560801,56.8,1.56
2015,4,Buenos Aires,58.2918218273372,57.69,1.05
2016,1,Buenos Aires,57.3359078225411,58.29,-1.64
2016,2,Buenos Aires,59.3385267910581,57.34,3.49
2016,3,Buenos Aires,60.1432954546882,59.34,1.36
2016,4,Buenos Aires,61.2365874303569,60.14,1.82
2017,1,Buenos Aires,58.5740024492033,61.24,-4.35
2017,2,Buenos Aires,56.2721441616913,58.57,-3.93
2017,3,Buenos Aires,55.6293833953396,56.27,-1.14
2017,4,Buenos Aires,57.6096152902582,55.63,3.56
2018,1,Buenos Aires,62.6262116616845,57.61,8.71
2018,2,Buenos Aires,62.7822665109499,62.63,0.25
2018,3,Buenos Aires,64.4405675975205,62.78,2.64
2018,4,Buenos Aires,64.6028466348432,64.44,0.25
2019,1,Buenos Aires,66.2425552273681,64.6,2.54
2019,2,Buenos Aires,67.847139823742,66.24,2.42
2019,3,Buenos Aires,69.3563010607913,67.85,2.22
2019,4,Buenos Aires,64.2520528824542,69.36,-7.36
2020,1,Buenos Aires,64.3256310174343,64.25,0.11
2020,2,Buenos Aires,65.2205801358229,64.33,1.39
2020,3,Buenos Aires,67.6561898309092,65.22,3.73
2020,4,Buenos Aires,68.9770222017074,67.66,1.95
2021,1,Buenos Aires,69.1052407618594,68.98,0.19
2021,2,Buenos Aires,70.0033033602797,69.11,1.3
2021,3,Buenos Aires,71.6821894010193,70.0,2.4
2021,4,Buenos Aires,75.6641060233847,71.68,5.55
2022,1,Buenos Aires,76.0781466115726,75.66,0.55
2022,2,Buenos Aires,77.58,76.08,1.97
2022,3,Buenos Aires,78.11,77.58,0.68
2022,4,Buenos Aires,78.94,78.11,1.06
2023,1,Buenos Aires,79.0,78.94,0.08
2023,2,Buenos Aires,79.67,79.0,0.85
2023,3,Buenos Aires,80.64,79.67,1.22
2023,4,Buenos Aires,80.96,80.64,0.4
2024,1,Buenos Aires,81.1,80.96,0.17
2024,2,Buenos Aires,79.84,81.1,-1.55
2014,1,Capital Federal,112.254122789269,,0.0
2014,2,Capital Federal,113.14335247541,112.25,0.79
2014,3,Capital Federal,113.800512332415,113.14,0.58
